Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
"EMMES CORPORATION, THE",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MD,ROCKVILLE,5/27/2021,7/28/2017 0:00,33003900.87,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,DATA COORDINATING CENTER FOR THE BEST PHARMACEUTICALS FOR CHILDREN ACT
"NORFOLK BANANA DISTRIBUTORS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,NORFOLK,11/12/2020,11/12/2020 0:00,289.15,PERISHABLE PREPARED FOOD MANUFACTURING,"4551700637!LETTUCE, FRESH,"
"ROHDE & SCHWARZ USA, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,COLUMBIA,7/1/2021,5/12/2021 0:00,14905,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,OEM REPAIR OF NRP-Z52 (S/N: 162002)
W R SYSTEMS LTD.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FAIRFAX,6/17/2021,6/17/2021 0:00,377404.17,ENGINEERING SERVICES,NGA CHARTING APPLICATION DEVELOPMENT AND MAINTENANCE SUPPORT
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FALLS CHURCH,3/22/2021,3/22/2021 0:00,3632.02,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,CIRCUIT CARD ASSEMB
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,10/14/2020,10/14/2020 0:00,197.95,PERISHABLE PREPARED FOOD MANUFACTURING,"4551402899!PEARS, FRESH,"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,12/15/2020,12/15/2020 0:00,42.83,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"SPRAY,CLEAN-UP,32OZ"
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,8/26/2021,8/26/2021 0:00,1082417.58,ALL OTHER MISCELLANEOUS MANUFACTURING,4554568557!NOVASEQ 6000
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,3/15/2021,3/15/2021 0:00,33.06,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER- FREE,LATEX-FREE,INDUSTRIAL GRADE,NITRILE GLOVES FOR GENERAL PURPOSE USE. NITRILE SHALL BE SOFT FORMULATION ALLOWS GLOVES TO CONFORM TO HAND. 4 MILS THICK, MIN. MEDIUM, 9 1/2 IN, DISPENSER BOX. U/I B"
"W.E. BOWERS, INC.",NATIONAL GALLERY OF ART (NGA),NATIONAL GALLERY OF ART (NGA),DC,WASHINGTON,3/30/2021,4/1/2021 0:00,63629,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",MECHANICAL IDIQ
CARAHSOFT TECHNOLOGY CORP.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,9/29/2021,9/29/2021 0:00,37155.67,SOFTWARE PUBLISHERS,RED HAT ENTERPRISE LINUX (RHEL) SUBSCRIPTIONS
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,8/5/2021,8/5/2021 0:00,2136.01,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,DOCUMENT PROTECTOR
