contract_transaction_unique_key,contract_award_unique_key,award_id_piid,modification_number,transaction_number,parent_award_agency_id,parent_award_agency_name,parent_award_id_piid,parent_award_modification_number,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award
9700_9700_SPE2DX21FEPUZ_0_SPE2DX19D5041_0,CONT_AWD_SPE2DX21FEPUZ_9700_SPE2DX19D5041_9700,SPE2DX21FEPUZ,0,0,9700,DEPT OF DEFENSE,SPE2DX19D5041,0,386.69,386.69,386.69,386.69
9700_9700_SPE3SU21F693Z_0_SPE30018DS335_0,CONT_AWD_SPE3SU21F693Z_9700_SPE30018DS335_9700,SPE3SU21F693Z,0,0,9700,DEPT OF DEFENSE,SPE30018DS335,0,620.34,620.34,620.34,620.34
4732_4732_47QMCA21F03NX_0_47QMCA20D004B_0,CONT_AWD_47QMCA21F03NX_4732_47QMCA20D004B_4732,47QMCA21F03NX,0,0,4732,FEDERAL ACQUISITION SERVICE,47QMCA20D004B,0,177625,177625,177625,177625
4732_4732_47QSCC21F4BLQ_0_47QSCC21A0001_0,CONT_AWD_47QSCC21F4BLQ_4732_47QSCC21A0001_4732,47QSCC21F4BLQ,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSCC21A0001,PS0001,18319.2,18319.2,18319.2,18319.2
9700_9700_SPE4A221F6549_0_SPE4AX19D9438_0,CONT_AWD_SPE4A221F6549_9700_SPE4AX19D9438_9700,SPE4A221F6549,0,0,9700,DEPT OF DEFENSE,SPE4AX19D9438,0,4598.3,4598.3,4598.3,4598.3
12H2_-NONE-_12405B21P0112_0_-NONE-_0,CONT_AWD_12405B21P0112_12H2_-NONE-_-NONE-,12405B21P0112,0,0,,,,,11980.8,11980.8,11980.8,11980.8
4732_4732_GSFMNJRZ734717_P00001_GS07FGA086_0,CONT_AWD_GSFMNJRZ734717_4732_GS07FGA086_4732,GSFMNJRZ734717,P00001,0,4732,FEDERAL ACQUISITION SERVICE,GS07FGA086,0,-3994.5,0,-3994.5,0
7529_-NONE-_HHSN275201700002C_P00015_-NONE-_0,CONT_AWD_HHSN275201700002C_7529_-NONE-_-NONE-,HHSN275201700002C,P00015,0,,,,,6345402.87,33003900.87,6345402.87,33003900.87
9700_9700_SPE3SU21F3B9Z_0_SPE30020DS740_0,CONT_AWD_SPE3SU21F3B9Z_9700_SPE30020DS740_9700,SPE3SU21F3B9Z,0,0,9700,DEPT OF DEFENSE,SPE30020DS740,0,786.16,786.16,786.16,786.16
9700_9700_SPE8ES21F89L2_0_SPE8EG19D0103_0,CONT_AWD_SPE8ES21F89L2_9700_SPE8EG19D0103_9700,SPE8ES21F89L2,0,0,9700,DEPT OF DEFENSE,SPE8EG19D0103,0,73.1,73.1,73.1,73.1
9700_9700_SPE30021F5X6A_0_SPE30020D3275_0,CONT_AWD_SPE30021F5X6A_9700_SPE30020D3275_9700,SPE30021F5X6A,0,0,9700,DEPT OF DEFENSE,SPE30020D3275,0,2745,2745,2745,2745
9700_9700_SPE2DB21FF46R_0_SPE2DB20D1047_0,CONT_AWD_SPE2DB21FF46R_9700_SPE2DB20D1047_9700,SPE2DB21FF46R,0,0,9700,DEPT OF DEFENSE,SPE2DB20D1047,0,58.5,58.5,58.5,58.5
4732_4732_47QSHA21F36SG_0_47QSHA21D0019_0,CONT_AWD_47QSHA21F36SG_4732_47QSHA21D0019_4732,47QSHA21F36SG,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSHA21D0019,0,1591.14,1591.14,1591.14,1591.14
4732_4732_47QSCC21F44X6_0_47QSCC20D0011_0,CONT_AWD_47QSCC21F44X6_4732_47QSCC20D0011_4732,47QSCC21F44X6,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSCC20D0011,0,93.2,93.2,93.2,93.2
9700_9700_SPE7L121F528W_0_SPE7LX19D0029_0,CONT_AWD_SPE7L121F528W_9700_SPE7LX19D0029_9700,SPE7L121F528W,0,0,9700,DEPT OF DEFENSE,SPE7LX19D0029,0,1072.09,1072.09,1072.09,1072.09
4732_4732_47QSCC21F42B7_0_47QSCC21A0001_0,CONT_AWD_47QSCC21F42B7_4732_47QSCC21A0001_4732,47QSCC21F42B7,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSCC21A0001,0,140.1,140.1,140.1,140.1
9700_-NONE-_W91YTZ16P0550_P00001_-NONE-_0,CONT_AWD_W91YTZ16P0550_9700_-NONE-_-NONE-,W91YTZ16P0550,P00001,0,,,,,-10413,5717.7,-10413,5717.7
