Agency,Award_Value
DEPARTMENT OF DEFENSE (DOD),178815055728.85
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),25266955303.89
GENERAL SERVICES ADMINISTRATION (GSA),21567258981.19
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),19935388958.23
DEPARTMENT OF THE TREASURY (TREAS),10768433361.289999
DEPARTMENT OF STATE (DOS),7294184476.11
DEPARTMENT OF HOMELAND SECURITY (DHS),4933093059.18
DEPARTMENT OF EDUCATION (ED),3886306624.69
DEPARTMENT OF COMMERCE (DOC),3839741352.0699997
DEPARTMENT OF TRANSPORTATION (DOT),3656600836.2999997
