Recipient,Award_Value
LOCKHEED MARTIN CORPORATION,93260574644.59999
"MAXIMUS FEDERAL SERVICES, INC.",14808059263.519999
BOOZ ALLEN HAMILTON INC.,8094065470.8
"LEIDOS, INC.",5874104363.85
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,5622596372.47
NORTHROP GRUMMAN SYSTEMS CORPORATION,5364503294.1
AAI CORPORATION,4663907569.16
COMPUTER ASSOCIATES INTERNATIO,4636892433.84
ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY INCORPORATED,4386198825.0
JOHNS HOPKINS MEDICAL SERVICES CORP,4227323927.4
